Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0003
7.12,1.4,0.03,0.0943
16.46,9.19,0.02,0.0703
