Wind correction (Drift Factor),Wind correction (Drift Angle at zero wind speed),Horizontal Diffusivity,FSS
72.16,-1.6,2.87,0.0324
77.28,-14.41,3.74,0.0119
31.07,14.02,2.34,0.0153
36.4,-4.34,4.73,0.0194
22.21,-11.52,0.15,0.3298
43.09,-11.75,2.53,0.0294
42.7,-1.11,3.31,0.0278
45.76,13.66,3.62,0.0092
23.82,-1.3,4.01,0.0209
13.64,5.75,2.9,0.0125
74.73,3.45,3.87,0.0174
39.67,8.94,1.05,0.0493
20.7,-3.84,1.17,0.0902
6.11,-14.16,4.6,0.0027
12.12,1.46,2.46,0.0271
95.24,-12.33,2.39,0.0304
16.86,-4.46,1.11,0.098
71.53,-11.28,4.66,0.0177
22.83,0.49,3.01,0.0282
16.73,1.29,1.5,0.0558
40.9,-7.25,0.87,0.1538
80.56,-3.35,2.02,0.0491
47.91,-7.47,1.07,0.0902
69.88,-2.7,1.81,0.0542
95.58,-6.77,3.11,0.0293
70.17,-5.59,4.22,0.0212
58.48,-11.16,4.79,0.0174
17.52,14.02,1.98,0.0139
18.37,11.52,4.6,0.0037
99.38,-13.87,0.01,0.2714
77.25,-6.94,0.69,0.1702
47.7,-2.09,1.44,0.0737
12.49,-8.01,3.61,0.0147
20.22,5.22,0.88,0.0622
3.16,11.09,3.83,0.0018
23.9,-11.36,2.34,0.0364
17.3,7.54,2.66,0.012
33.48,-10.9,0.86,0.1421
22.1,-6.34,1.18,0.0929
58.44,-5.86,1.89,0.0529
42.24,3.99,2.2,0.0284
77.65,-7.41,3.1,0.0286
45.13,-6.66,2.77,0.0329
76.97,9.93,0.65,0.0724
27.99,-4.14,4.33,0.0204
40.29,-7.29,0.65,0.1842
38.12,5.65,2.22,0.0199
62.39,-7.89,0.75,0.1754
36.25,-1.07,2.22,0.0401
44.46,13.23,3.63,0.0099
23.76,-8.91,3.81,0.02
20.76,1.24,3.87,0.0155
96.55,5.82,4.52,0.0097
58.58,2.17,1.69,0.047
88.23,-6.66,2.39,0.0414
93.16,-0.56,1.98,0.0487
69.94,1.71,3.29,0.026
57.48,-10.92,3.97,0.0208
50.82,2.92,4.18,0.0117
33.09,13.03,0.25,0.1751
10.67,-5.55,3.14,0.0206
51.46,12.16,0.18,0.1881
65.88,-2.29,3.93,0.0262
40.73,-4.84,1.03,0.1015
27.43,0.08,0.7,0.1292
81.03,2.16,0.48,0.1356
13.0,-6.77,2.39,0.04
80.22,9.63,0.02,0.3171
72.57,3.73,4.35,0.0131
50.69,7.88,4.33,0.0081
24.65,4.39,1.41,0.0407
70.87,10.31,3.28,0.0083
58.85,-5.12,0.22,0.214
63.8,11.69,4.08,0.0073
12.14,13.13,0.34,0.1263
63.98,1.05,4.44,0.0178
90.72,-3.35,1.69,0.0587
76.57,-14.94,0.45,0.1425
58.0,-14.43,2.93,0.016
97.78,-8.46,0.38,0.1869
97.54,3.98,2.53,0.0272
46.27,-11.31,0.03,0.499
5.24,-7.72,2.13,0.0328
75.31,3.07,4.14,0.0133
32.43,-3.66,1.89,0.0563
24.06,-12.27,3.65,0.0169
84.59,-2.51,1.06,0.0949
93.44,13.41,1.05,0.0464
6.89,-5.02,1.13,0.0951
52.67,9.14,4.05,0.0103
93.06,10.56,3.2,0.0127
35.04,13.24,4.81,0.0026
49.97,11.27,2.45,0.0143
94.41,7.04,3.99,0.0107
77.38,-6.23,0.62,0.1706
79.16,8.89,0.37,0.132
47.92,-3.19,0.63,0.1689
17.12,-1.2,1.81,0.0545
6.68,2.69,2.81,0.0171
70.84,12.43,3.75,0.0128
75.37,-8.33,3.44,0.0271
66.32,-4.85,1.96,0.0509
2.37,4.01,2.51,0.0094
71.34,-13.36,2.19,0.0283
52.15,-12.96,0.12,0.3808
55.55,5.01,4.05,0.0135
43.72,-4.75,2.56,0.0379
15.71,-13.7,0.66,0.1247
87.61,7.4,2.95,0.0144
11.25,-3.36,3.97,0.0204
15.75,8.87,4.62,0.0023
67.85,-6.57,3.27,0.029
25.76,1.03,3.18,0.0251
8.38,3.78,3.24,0.0049
69.35,12.23,4.15,0.007
58.33,7.35,3.45,0.0109
79.03,-4.11,1.93,0.055
74.88,11.03,2.39,0.0181
48.16,2.86,2.32,0.0298
95.74,4.76,1.66,0.0389
43.8,13.21,3.68,0.009
21.55,-13.01,3.08,0.0167
24.89,-5.01,2.27,0.0459
93.0,11.66,2.63,0.0146
58.47,-12.35,0.56,0.1534
58.71,-1.04,2.33,0.0379
88.75,-3.39,2.22,0.0454
79.16,4.89,1.15,0.0485
37.38,-4.84,4.46,0.0227
71.89,-12.33,1.96,0.038
77.61,-1.75,3.42,0.0281
32.3,13.48,2.95,0.0081
76.87,5.64,4.84,0.0063
92.93,-9.41,3.96,0.0265
93.41,6.27,0.93,0.0569
33.22,-11.87,0.09,0.4645
92.17,-11.81,3.07,0.0233
68.5,1.32,3.91,0.0202
10.41,10.5,3.47,0.006
8.82,13.56,3.57,0.005
1.34,14.0,3.65,0.0014
6.18,4.94,2.13,0.0149
68.1,0.66,3.42,0.0279
82.0,-13.99,3.72,0.0154
85.2,-3.87,2.19,0.0439
70.37,11.04,2.59,0.019
71.55,0.38,1.63,0.051
71.18,0.21,0.18,0.2165
63.54,13.33,2.71,0.0133
