Horizontal Diffusivity,Wind correction (Drift Factor),Metric
2.0,0.0,0.56
13.12,0.02,0.64
14.24,0.01,0.65
1.25,0.02,0.48
11.39,0.02,0.62
0.03,0.03,0.19
9.01,0.02,0.61
5.37,0.01,0.66
11.84,0.03,0.52
0.93,0.05,0.01
13.67,0.01,0.66
