Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0062
11.6,4.52,0.03,0.0767
9.12,8.91,0.01,0.0641
