Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0002
18.75,12.83,0.02,0.0683
9.51,6.74,0.03,0.0931
