Wind correction (Drift Factor),Wind correction (Drift Angle at zero wind speed),Horizontal Diffusivity,FSS
2.0,0.0,0.03,0.5569
11.09,-1.0,0.01,0.3456
1.37,-9.45,0.01,0.6687
