Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0002
1.19,10.43,0.0,0.1014
5.42,1.0,0.05,0.0917
