Wind correction (Drift Factor),Wind correction (Drift Angle at zero wind speed),Horizontal Diffusivity,FSS
2.0,0.0,0.03,0.5452
11.83,6.34,0.02,0.366
9.96,-7.92,0.01,0.3799
