Wind correction (Drift Factor),Wind correction (Drift Angle at zero wind speed),Horizontal Diffusivity,FSS
2.0,0.0,0.78,0.105
41.84,-12.29,0.52,0.1567
74.12,-10.69,1.1,0.0755
