Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0003
4.79,3.64,0.02,0.0973
18.46,12.51,0.01,0.0617
