Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0062
6.04,0.09,0.04,0.0865
13.19,14.42,0.03,0.0792
