Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0002
14.65,1.78,0.03,0.0638
4.09,9.45,0.04,0.1074
