Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0003
19.57,3.0,0.03,0.0745
7.95,10.45,0.01,0.0803
