Wind correction (Drift Factor),Wind correction (Drift Angle at zero wind speed),Horizontal Diffusivity,FSS
2.0,0.0,0.78,0.1224
7.72,-9.1,2.92,0.0218
26.97,-4.74,1.75,0.058
12.12,2.11,2.94,0.0197
4.65,2.83,3.9,0.006
23.24,4.08,0.49,0.1313
49.57,1.89,3.29,0.0263
82.97,1.56,2.71,0.0278
78.67,-12.17,2.3,0.0326
37.44,-0.09,1.99,0.0531
94.76,-7.79,4.83,0.0175
77.04,2.98,0.45,0.1476
49.34,9.38,2.74,0.0131
46.23,-3.34,3.6,0.0257
50.57,11.13,1.04,0.0507
63.19,-1.32,1.04,0.0897
86.59,-13.65,3.26,0.0145
72.11,-4.39,4.08,0.023
90.42,7.43,4.76,0.004
38.65,-12.17,0.9,0.1211
25.56,-12.03,1.8,0.0428
95.72,14.45,3.88,0.0103
34.72,-6.17,4.6,0.0182
96.54,-0.63,3.01,0.0357
86.25,-5.35,1.23,0.078
86.99,-9.91,0.68,0.1608
18.33,13.12,1.3,0.0341
89.73,-12.66,0.79,0.1361
37.14,-7.08,0.53,0.1926
88.04,-6.2,4.18,0.0212
49.93,-4.85,3.48,0.026
75.24,2.58,4.21,0.0184
74.55,7.91,2.6,0.0166
55.62,2.29,0.8,0.095
88.76,-9.81,2.53,0.0338
33.79,14.61,0.21,0.1739
9.16,-10.98,3.78,0.0153
89.97,0.93,4.0,0.0205
91.22,-10.61,3.6,0.0227
59.13,5.1,1.48,0.0405
90.73,-11.07,2.42,0.0342
45.32,5.37,2.55,0.0174
58.97,9.52,3.25,0.0099
13.87,-1.4,4.41,0.0166
44.77,10.6,0.5,0.1029
81.28,14.86,3.02,0.0105
31.68,-4.7,1.58,0.0687
11.77,1.79,1.42,0.0494
23.38,-4.17,4.87,0.0139
56.66,9.0,4.42,0.0079
43.09,4.09,4.45,0.0089
50.06,11.8,4.61,0.0044
29.3,1.43,3.7,0.0158
99.41,7.7,0.65,0.0847
47.57,-2.14,3.12,0.0308
87.93,-11.23,0.79,0.1569
12.32,-9.99,1.82,0.0428
61.88,10.05,2.84,0.0107
62.67,-14.96,2.23,0.0198
22.59,1.0,0.11,0.3533
52.31,-4.06,3.6,0.0253
91.29,-7.91,4.98,0.017
74.1,1.35,3.33,0.0264
56.85,0.65,0.87,0.1141
60.08,-10.69,2.26,0.0379
51.81,-11.57,3.58,0.0197
94.09,7.45,2.61,0.0169
48.73,7.05,3.54,0.0096
85.39,-9.53,3.15,0.0259
64.11,-7.9,4.81,0.0188
41.24,8.65,1.35,0.037
2.38,-13.2,0.64,0.1233
62.98,-6.83,0.29,0.2077
22.9,-1.14,1.59,0.0604
62.38,12.66,1.44,0.0312
28.81,-13.3,2.66,0.0252
94.84,-10.78,1.6,0.0513
95.56,-5.26,0.73,0.1642
6.49,11.09,4.71,0.001
7.45,-12.59,4.57,0.0075
98.1,8.24,4.36,0.008
95.26,1.34,0.38,0.1686
39.6,14.3,0.99,0.0447
82.02,-10.37,4.83,0.0158
50.87,2.4,2.82,0.0238
7.14,12.44,2.24,0.0117
22.47,12.64,1.41,0.033
33.46,-12.34,2.66,0.0288
43.49,-9.79,1.6,0.0556
83.51,5.45,2.09,0.0282
60.66,2.88,2.38,0.0291
79.54,-11.84,4.04,0.0214
58.89,-0.44,2.1,0.0459
23.07,-3.09,4.78,0.0161
84.8,-14.39,4.04,0.0127
30.88,-5.24,1.61,0.0658
54.49,6.53,3.01,0.0122
10.15,10.03,1.58,0.0229
38.97,0.84,1.77,0.0506
18.66,6.68,4.78,0.0025
80.98,-11.31,4.11,0.0181
