Horizontal Diffusivity,Wind correction (Drift Factor),Metric
10.26,0.01,0.71
3.51,0.04,0.61
6.77,0.03,0.65
5.43,0.03,0.64
13.16,0.0,0.7
0.03,0.03,0.58
2.05,0.03,0.61
4.12,0.03,0.63
6.25,0.03,0.65
2.57,0.0,0.53
8.89,0.03,0.67
