Wind correction (Drift Factor),Wind correction (Drift Angle at zero wind speed),Horizontal Diffusivity,FSS
2.0,0.0,0.03,0.523
7.23,-10.13,0.01,0.4183
0.55,6.89,0.01,0.7587
