Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0008
5.01,10.52,0.03,0.1056
11.61,2.36,0.02,0.0798
