Horizontal Diffusivity,Wind correction (Drift Angle at zero wind speed),Wind correction (Drift Factor),FSS
2.0,0.0,0.78,0.0004
5.51,11.76,0.05,0.0936
4.77,13.26,0.03,0.0955
