Wind correction (Drift Factor),Wind correction (Drift Angle at zero wind speed),Horizontal Diffusivity,FSS
2.0,0.0,0.03,0.518
2.33,4.9,0.02,0.6307
8.64,-4.21,0.05,0.3207
